zone,hours,mean_eur_mwh,minimum_eur_mwh,maximum_eur_mwh,negative_hours
DE-LU,8784.0,78.51203324225865,-135.45,936.28,457.0
FR,8784.0,58.01806807832423,-87.29,284.21,352.0
