zone,hours,gross_margin_eur,degradation_eur,net_margin_eur,charge_mwh,discharge_mwh,equivalent_full_cycles
DE-LU,8784,77343.35593842469,11782.75328490656,65560.60265351813,1309.1948094340623,1178.275328490656,621.00562480226
FR,8784,55266.958347420914,12203.872828304427,43063.08551911649,1355.9858698116032,1220.3872828304427,643.200573541383
