scenario,zone,power_mw,energy_mwh,round_trip_efficiency,initial_fraction,degradation_eur_per_mwh_discharged,gross_margin_eur,net_margin_eur,discharge_mwh
efficiency_85pct,DE-LU,1.0,2.0,0.85,0.5,10.0,5273.640325543536,4623.12629147784,65.05140340656945
efficiency_85pct,FR,1.0,2.0,0.85,0.5,10.0,3759.002935919174,3012.171635109722,74.68313008094519
degradation_0,DE-LU,1.0,2.0,0.9,0.5,0.0,6010.63294924077,6010.63294924077,108.84598054599059
degradation_0,FR,1.0,2.0,0.9,0.5,0.0,4596.445441093015,4596.445441093015,134.45252938165757
degradation_20,DE-LU,1.0,2.0,0.9,0.5,20.0,5655.894287951776,4467.2636579792415,59.431531498626725
degradation_20,FR,1.0,2.0,0.9,0.5,20.0,4085.6702012145665,2749.144907397991,66.82626469082876
main,DE-LU,1.0,2.0,0.9,0.5,10.0,5893.277391017789,5137.685915362936,75.55914756548543
main,FR,1.0,2.0,0.9,0.5,10.0,4402.006585538956,3500.954610942584,90.105197459637
