zone,case,day_cet,model,sales_eur,purchases_eur,degradation_eur,net_margin_eur,forecast_net_margin_eur,gross_margin_eur,discharge_mwh,forecast_optimism_eur
DE-LU,worst_seven_day_loss,2024-02-11,latest_same_hour,150.95337896919696,113.88254400153357,18.973665961010276,18.097169006653118,34.386185781998364,37.0708349676634,1.8973665961010275,16.289016775345246
DE-LU,worst_seven_day_loss,2024-02-11,seven_day_same_hour,252.61927779393065,249.56254400153355,36.973665961010276,-33.91693216861318,59.14779495662982,3.0567337923970967,3.6973665961010274,93.064727125243
DE-LU,worst_seven_day_loss,2024-02-11,perfect_foresight,76.59668948459847,46.141780594262514,9.486832980505138,20.968075909830816,20.968075909830816,30.454908890335957,0.9486832980505138,0.0
DE-LU,largest_seven_day_underperformance,2024-02-11,latest_same_hour,150.95337896919696,113.88254400153357,18.973665961010276,18.097169006653118,34.386185781998364,37.0708349676634,1.8973665961010275,16.289016775345246
DE-LU,largest_seven_day_underperformance,2024-02-11,seven_day_same_hour,252.61927779393065,249.56254400153355,36.973665961010276,-33.91693216861318,59.14779495662982,3.0567337923970967,3.6973665961010274,93.064727125243
DE-LU,largest_seven_day_underperformance,2024-02-11,perfect_foresight,76.59668948459847,46.141780594262514,9.486832980505138,20.968075909830816,20.968075909830816,30.454908890335957,0.9486832980505138,0.0
DE-LU,largest_seven_day_advantage,2024-07-15,latest_same_hour,163.01225110401978,3.468918148932211,18.973665961010276,140.5696669940773,130.78225983744534,159.54333295508758,1.8973665961010275,-9.787407156631957
DE-LU,largest_seven_day_advantage,2024-07-15,seven_day_same_hour,605.5699400683868,147.24401158632776,37.94733192202055,420.3785965600385,176.46569329032178,458.32592848205906,3.794733192202055,-243.9129032697167
DE-LU,largest_seven_day_advantage,2024-07-15,perfect_foresight,659.9772767899921,146.60950593506942,37.94733192202055,475.42043893290213,475.42043893290213,513.3677708549227,3.794733192202055,0.0
FR,worst_seven_day_loss,2024-04-20,latest_same_hour,68.9932192951766,58.028591644953636,47.434164902525694,-36.46953725230272,331.6175767856937,10.964627650222965,4.743416490252569,368.0871140379964
FR,worst_seven_day_loss,2024-04-20,seven_day_same_hour,66.78179448314472,59.60729574745244,46.94733192202055,-39.77283318632826,129.06409042929923,7.174498735692282,4.6947331922020545,168.83692361562748
FR,worst_seven_day_loss,2024-04-20,perfect_foresight,60.725217908213395,-0.11108185106778921,18.973665961010276,41.862633798270906,41.862633798270906,60.836299759281175,1.8973665961010275,0.0
FR,largest_seven_day_underperformance,2024-12-13,latest_same_hour,987.814309091433,613.9857099055412,37.94733192202055,335.8812672638712,340.6635306407855,373.8285991858918,3.794733192202055,4.782263376914273
FR,largest_seven_day_underperformance,2024-12-13,seven_day_same_hour,1045.9504163165213,722.7177708934228,46.46049894151541,276.77214648158326,120.24806887693371,323.23264542309863,4.646049894151541,-156.52407760464956
FR,largest_seven_day_underperformance,2024-12-13,perfect_foresight,991.0441823121337,594.4330337673799,37.94733192202055,358.6638166227332,358.6638166227332,396.61114854475375,3.794733192202055,0.0
FR,largest_seven_day_advantage,2024-04-22,latest_same_hour,119.08821440428099,29.94281352649573,18.973665961010276,70.17173491677498,41.862633798270906,89.14540087778526,1.8973665961010275,-28.309101118504074
FR,largest_seven_day_advantage,2024-04-22,seven_day_same_hour,356.49983587289523,68.6474904899252,37.94733192202055,249.90501346094942,97.66948960585039,287.85234538297,3.794733192202055,-152.23552385509902
FR,largest_seven_day_advantage,2024-04-22,perfect_foresight,510.4988070842773,115.3674904899252,55.94733192202055,339.1839846723316,339.1839846723316,395.1313165943521,5.594733192202055,0.0
