decile,hours,residual_load_mw,price_eur_mwh,zone
1,879,5809.030546075085,1.5856996587030716,DE-LU
2,878,15293.886275626424,34.65333712984055,DE-LU
3,878,20850.867312072893,54.85603644646925,DE-LU
4,879,25260.769488054608,69.08058020477816,DE-LU
5,878,28854.191765375854,78.59705011389522,DE-LU
6,878,32293.656355353076,86.38800683371298,DE-LU
7,879,35677.21300341297,94.2416723549488,DE-LU
8,878,39299.913371298404,100.54343963553531,DE-LU
9,878,44024.80979498861,111.58881548974942,DE-LU
10,879,53326.38481228669,153.58063708759954,DE-LU
1,879,28347.898179749714,10.67692832764505,FR
2,878,32186.07403189066,22.74231207289294,FR
3,878,34665.42938496583,33.58128701594533,FR
4,879,36921.96643913538,45.86392491467577,FR
5,878,39099.08883826879,54.57932801822324,FR
6,878,41343.31548974943,63.62452164009112,FR
7,878,44067.17995444191,71.01141230068336,FR
8,878,47533.91343963554,77.73987471526196,FR
9,878,52351.80410022779,89.53452164009111,FR
10,879,63316.89988623436,110.80663253697384,FR
