zone,model,hours,days,mae_eur_mwh,spike_precision,spike_recall,actual_spike_hours,predicted_spike_hours,negative_precision,negative_recall,actual_negative_hours,predicted_negative_hours,gross_margin_eur,degradation_eur,net_margin_eur,oracle_gap_eur,worst_day_eur,loss_days
DE-LU,latest_same_hour,8592,358,35.33334729981378,0.17829457364341086,0.17829457364341086,129,129,0.19282511210762332,0.19282511210762332,446,446,58338.48166106393,11613.450790198984,46725.03087086494,18350.78669249267,-64.6234906764983,28
DE-LU,perfect_foresight,8592,358,0.0,1.0,1.0,129,129,1.0,1.0,446,446,76671.7551865371,11595.937623179489,65075.8175633576,0.0,9.290590969734183,0
DE-LU,seven_day_same_hour,8592,358,29.516665170258044,0.04310344827586207,0.03875968992248062,129,116,0.31343283582089554,0.04708520179372197,446,67,68072.27334237081,12641.80525950293,55430.46808286788,9645.349480489733,-33.91693216861316,11
FR,latest_same_hour,8592,358,26.54623137802607,0.24,0.24,25,25,0.19767441860465115,0.19767441860465115,344,344,36303.61791129326,12026.543999557862,24277.073911735402,18385.690453382755,-56.57101906260104,40
FR,perfect_foresight,8592,358,0.0,1.0,1.0,25,25,1.0,1.0,344,344,54671.795197656524,12009.030832538367,42662.76436511816,0.0,7.475123273391253,0
FR,seven_day_same_hour,8592,358,23.5343140352044,,0.0,25,0,0.26993865030674846,0.12790697674418605,344,163,45759.60200520841,13267.331940282724,32492.270064925688,10170.494300192471,-39.77283318632826,19
