day_cet,DE-LU,FR,spread_de_minus_fr_eur_mwh
2024-12-01 00:00:00+01:00,94.59291666666667,91.52666666666666,3.0662500000000006
2024-12-02 00:00:00+01:00,109.14791666666667,106.59916666666668,2.5487499999999996
2024-12-03 00:00:00+01:00,144.07208333333332,142.76708333333332,1.3050000000000008
2024-12-04 00:00:00+01:00,182.46916666666667,144.54208333333332,37.927083333333336
2024-12-05 00:00:00+01:00,106.20083333333334,108.43416666666667,-2.233333333333333
2024-12-06 00:00:00+01:00,86.37458333333332,87.27916666666665,-0.9045833333333327
2024-12-07 00:00:00+01:00,71.50833333333334,42.221666666666664,29.286666666666665
2024-12-08 00:00:00+01:00,99.06833333333333,37.19541666666667,61.87291666666667
2024-12-09 00:00:00+01:00,99.59125,88.63208333333334,10.959166666666667
2024-12-10 00:00:00+01:00,149.92875,126.21333333333332,23.715416666666666
2024-12-11 00:00:00+01:00,266.5441666666667,164.09666666666666,102.44749999999999
2024-12-12 00:00:00+01:00,395.33874999999995,173.1258333333333,222.21291666666664
2024-12-13 00:00:00+01:00,178.46624999999997,176.68541666666667,1.7808333333333348
2024-12-14 00:00:00+01:00,101.22666666666667,109.47041666666667,-8.24375
2024-12-15 00:00:00+01:00,46.84833333333333,73.5,-26.651666666666667
2024-12-16 00:00:00+01:00,48.67083333333333,76.52499999999999,-27.854166666666668
2024-12-17 00:00:00+01:00,86.30083333333333,93.1375,-6.836666666666667
2024-12-18 00:00:00+01:00,54.97208333333333,58.73666666666667,-3.7645833333333343
2024-12-19 00:00:00+01:00,52.03208333333333,58.942499999999995,-6.910416666666666
2024-12-20 00:00:00+01:00,76.37333333333333,80.3275,-3.9541666666666653
2024-12-21 00:00:00+01:00,22.135833333333334,32.24583333333333,-10.11
2024-12-22 00:00:00+01:00,22.934583333333336,24.732916666666668,-1.7983333333333331
2024-12-23 00:00:00+01:00,59.098749999999995,65.55708333333332,-6.458333333333333
2024-12-24 00:00:00+01:00,102.48625,102.48625,0.0
2024-12-25 00:00:00+01:00,98.625,96.78625,1.8387500000000003
2024-12-26 00:00:00+01:00,112.89208333333333,112.64166666666667,0.2504166666666657
2024-12-27 00:00:00+01:00,121.70625,119.54166666666667,2.1645833333333346
2024-12-28 00:00:00+01:00,122.63833333333334,120.32416666666667,2.314166666666664
2024-12-29 00:00:00+01:00,105.28041666666667,113.87458333333332,-8.594166666666666
2024-12-30 00:00:00+01:00,78.15583333333333,117.545,-39.38916666666667
2024-12-31 00:00:00+01:00,62.1025,97.78500000000001,-35.6825
