zone,group,hours,price_eur_mwh,demand_mw,wind_mw,solar_mw,residual_load_mw
DE-LU,all_valid,8784,78.51203324225865,52994.405475865206,15736.32704348816,7189.0292577413475,30069.0491746357
DE-LU,negative_price,457,-11.497439824945296,48214.77553610504,18088.427242888403,25421.12636761488,4705.221925601751
DE-LU,nonnegative_price,8327,83.45190704935752,53256.71974060286,15607.239762219288,6188.420589648133,31461.05938873544
FR,all_valid,8783,58.015311397016966,50101.25253330297,5330.074405100763,2787.520949561653,41983.657178640555
FR,negative_price,352,-10.161221590909092,43566.15198863636,4117.353693181818,7252.558238636364,32196.24005681818
FR,nonnegative_price,8431,60.86172814612738,50374.09743802633,5380.706321907247,2601.1025975566363,42392.28851856245
