zone,model,sales_eur,purchases_eur,degradation_eur,net_margin_eur,charge_mw,discharge_mw,weighted_sell_price,weighted_buy_price
DE-LU,latest_same_hour,128864.07309146144,70525.59143039752,11613.450790198982,46725.03087086494,1290.3834211332203,1161.345079019898,110.96105319550205,54.6547563114703
DE-LU,perfect_foresight,145117.98774827213,68446.23256173503,11595.937623179487,65075.81756335761,1288.4375136866097,1159.5937623179486,125.14554015726266,53.12343969704021
DE-LU,seven_day_same_hour,148313.8086344311,80241.53529206029,12641.80525950293,55430.468082867876,1404.645028833659,1264.1805259502928,117.3201181239069,57.12584577947676
FR,latest_same_hour,92779.85223833441,56476.23432704115,12026.54399955786,24277.073911735402,1336.2826666175401,1202.654399955786,77.14589681104177,42.26368846794696
FR,perfect_foresight,104911.79904685564,50240.00384919911,12009.030832538365,42662.76436511816,1334.3367591709296,1200.9030832538365,87.36075417726302,37.6516673949798
FR,seven_day_same_hour,105088.98197785253,59329.37997264412,13267.331940282724,32492.270064925688,1474.1479933647472,1326.7331940282722,79.20882845990896,40.24655613933621
