zone,model,day_cet,hours,gross_margin_eur,degradation_eur,net_margin_eur,oracle_gap_eur,mae_eur_mwh
DE-LU,latest_same_hour,2024-01-09,24,60.854379398117544,18.486832980505135,42.3675464176124,22.032490207102,23.067916666666672
DE-LU,seven_day_same_hour,2024-01-09,24,69.88265061112831,18.973665961010276,50.90898465011803,13.491051974596374,42.78005952380952
DE-LU,perfect_foresight,2024-01-09,24,101.37370258572469,36.973665961010276,64.4000366247144,0.0,0.0
DE-LU,latest_same_hour,2024-01-10,24,114.16538402840342,36.973665961010276,77.19171806739314,0.5876211645653484,9.609583333333335
DE-LU,seven_day_same_hour,2024-01-10,24,76.5920245921917,18.973665961010276,57.61835863118142,20.160980600777066,32.93208333333333
DE-LU,perfect_foresight,2024-01-10,24,114.75300519296877,36.973665961010276,77.77933923195849,0.0,0.0
DE-LU,latest_same_hour,2024-01-11,24,119.13020939887315,36.973665961010276,82.15654343786287,11.262438663401838,3.7800000000000016
DE-LU,seven_day_same_hour,2024-01-11,24,81.93361231959103,18.973665961010276,62.95994635858075,30.45903574268395,22.69494047619047
DE-LU,perfect_foresight,2024-01-11,24,131.3663140232852,37.94733192202055,93.4189821012647,0.0,0.0
DE-LU,latest_same_hour,2024-01-12,24,99.59340344588855,36.973665961010276,62.61973748487827,3.7111623050267326,7.5945833333333335
DE-LU,seven_day_same_hour,2024-01-12,24,60.79145334004011,18.973665961010276,41.81778737902985,24.513112410875152,10.303750000000003
DE-LU,perfect_foresight,2024-01-12,24,95.30456575091529,28.973665961010276,66.330899789905,0.0,0.0
DE-LU,latest_same_hour,2024-01-13,24,3.1471682564093157,37.94733192202055,-34.80016366561122,44.090754635345405,35.080000000000005
DE-LU,seven_day_same_hour,2024-01-13,24,-3.6334321969942778,18.973665961010276,-22.607098158004547,31.89768912773873,25.751428571428573
DE-LU,perfect_foresight,2024-01-13,24,18.777423950239324,9.486832980505138,9.290590969734183,0.0,0.0
DE-LU,latest_same_hour,2024-01-14,24,16.17737922070222,28.973665961010276,-12.796286740308062,36.535457133924396,29.890416666666667
DE-LU,seven_day_same_hour,2024-01-14,24,30.244914659203687,28.973665961010276,1.2712486981934035,22.46792169542293,25.875416666666666
DE-LU,perfect_foresight,2024-01-14,24,42.226003374121476,18.486832980505135,23.739170393616334,0.0,0.0
DE-LU,latest_same_hour,2024-01-15,24,-26.458107323314238,9.486832980505138,-35.94494030381938,72.15595460533567,19.86375
DE-LU,seven_day_same_hour,2024-01-15,24,58.848529647313256,28.973665961010276,29.874863686302973,6.336150615213313,13.510535714285716
DE-LU,perfect_foresight,2024-01-15,24,55.18468026252657,18.973665961010276,36.211014301516286,0.0,0.0
DE-LU,latest_same_hour,2024-01-16,24,72.98568777828771,18.486832980505135,54.49885479778257,52.93572942568434,24.983750000000004
DE-LU,seven_day_same_hour,2024-01-16,24,116.70426929780643,28.973665961010276,87.73060333679615,19.703980886670763,7.321190476190478
DE-LU,perfect_foresight,2024-01-16,24,145.38191614548748,37.94733192202055,107.43458422346691,0.0,0.0
DE-LU,latest_same_hour,2024-01-17,24,63.628793995486205,18.973665961010276,44.65512803447595,29.74439499232267,13.936666666666667
DE-LU,seven_day_same_hour,2024-01-17,24,50.634388116297885,28.973665961010276,21.660722155287658,52.73880087151096,12.72107142857143
DE-LU,perfect_foresight,2024-01-17,24,93.3731889878089,18.973665961010276,74.39952302679862,0.0,0.0
DE-LU,latest_same_hour,2024-01-18,24,89.08285149967327,37.94733192202055,51.13551957765276,8.44175281649808,8.451666666666666
DE-LU,seven_day_same_hour,2024-01-18,24,80.18829119317866,36.973665961010276,43.21462523216837,16.362647161982466,6.631726190476191
DE-LU,perfect_foresight,2024-01-18,24,78.55093835516112,18.973665961010276,59.57727239415084,0.0,0.0
DE-LU,latest_same_hour,2024-01-19,24,34.420215508420995,18.973665961010276,15.446549547410712,29.5776658738111,22.21375
DE-LU,seven_day_same_hour,2024-01-19,24,61.20375534708921,27.973665961010276,33.23008938607893,11.794126035142881,14.869821428571427
DE-LU,perfect_foresight,2024-01-19,24,73.9978813822321,28.973665961010276,45.02421542122181,0.0,0.0
DE-LU,latest_same_hour,2024-01-20,24,6.2981851067789165,18.973665961010276,-12.675480854231367,40.49519232343037,19.074166666666667
DE-LU,seven_day_same_hour,2024-01-20,24,23.707335182617612,18.973665961010276,4.733669221607357,23.08604224759165,17.30136904761905
DE-LU,perfect_foresight,2024-01-20,24,46.79337743020929,18.973665961010276,27.819711469199007,0.0,0.0
DE-LU,latest_same_hour,2024-01-21,24,18.478872411612045,28.973665961010276,-10.494793549398224,36.772509760431916,28.250833333333333
DE-LU,seven_day_same_hour,2024-01-21,24,9.290254568464292,18.973665961010276,-9.683411392545992,35.96112760357968,36.77113095238095
DE-LU,perfect_foresight,2024-01-21,24,53.27771621103369,26.999999999999996,26.27771621103369,0.0,0.0
DE-LU,latest_same_hour,2024-01-22,24,67.8333270493871,18.973665961010276,48.859661088376825,34.39770659557773,23.825
DE-LU,seven_day_same_hour,2024-01-22,24,82.13436507932688,18.973665961010276,63.160699118316614,20.09666856563794,37.06339285714285
DE-LU,perfect_foresight,2024-01-22,24,111.23103364496481,27.973665961010273,83.25736768395456,0.0,0.0
DE-LU,latest_same_hour,2024-01-23,24,4.087790057694036,26.999999999999996,-22.912209942305964,121.95086577684008,22.71666666666667
DE-LU,seven_day_same_hour,2024-01-23,24,114.77424686711788,27.973665961010276,86.80058090610763,12.238074928426485,30.916547619047616
DE-LU,perfect_foresight,2024-01-23,24,128.01232179554438,28.973665961010276,99.03865583453411,0.0,0.0
