zone,model,event,actual_hours,missed_hours,missed_hours_discharging,missed_hours_charging,discharge_mwh_on_missed,charge_mwh_on_missed,oracle_discharge_mwh_on_same_hours,oracle_charge_mwh_on_same_hours
DE-LU,latest_same_hour,spike_above_200,129,106,46,0,43.40128202786901,0.0,63.33153149862672,2.1081851067789197
DE-LU,latest_same_hour,negative,446,360,10,164,9.338149682454624,117.46627389666763,0.9486832980505138,121.13879257199869
DE-LU,seven_day_same_hour,spike_above_200,129,124,69,0,66.53679830642466,0.0,76.92099788303082,2.1081851067789197
DE-LU,seven_day_same_hour,negative,446,425,7,209,6.58946638440411,147.81566172707193,0.9486832980505138,151.22064363978788
FR,latest_same_hour,spike_above_200,25,19,9,0,8.292099788303082,0.0,11.486832980505138,0.0
FR,latest_same_hour,negative,344,276,5,115,4.594733192202055,83.73238618387273,1.7999999999999998,101.16512661098841
FR,seven_day_same_hour,spike_above_200,25,25,14,0,13.184199576606165,0.0,15.281566172707192,0.0
FR,seven_day_same_hour,negative,344,300,3,138,3.0,94.30107023216706,1.7999999999999998,107.54377448471462
