zone,day_cet,hours,gross_margin_eur,degradation_eur,net_margin_eur,charge_mwh,discharge_mwh,equivalent_full_cycles
DE-LU,2024-01-01,24,68.54269169584205,18.486832980505135,50.05585871533692,2.05409255338946,1.8486832980505137,0.9743416490252569
DE-LU,2024-01-02,24,149.06932144575987,28.460498941515414,120.60882250424444,3.1622776601683795,2.846049894151541,1.4999999999999998
DE-LU,2024-01-03,24,96.62016880181784,18.973665961010276,77.64650284080756,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-01-04,24,159.79708069115338,28.460498941515414,131.33658174963796,3.1622776601683795,2.846049894151541,1.4999999999999998
DE-LU,2024-01-05,24,35.566058966174666,18.486832980505135,17.079225985669524,2.05409255338946,1.8486832980505137,0.9743416490252569
DE-LU,2024-01-06,24,35.38975285401028,18.486832980505135,16.90291987350514,2.05409255338946,1.8486832980505137,0.9743416490252569
DE-LU,2024-01-07,24,33.11216426481843,18.486832980505135,14.62533128431329,2.05409255338946,1.8486832980505137,0.9743416490252569
DE-LU,2024-01-08,24,93.50351316800726,36.973665961010276,56.529847206996976,4.108185106778919,3.6973665961010274,1.9486832980505138
DE-LU,2024-01-09,24,101.37370258572469,36.973665961010276,64.4000366247144,4.10818510677892,3.6973665961010274,1.9486832980505138
DE-LU,2024-01-10,24,114.75300519296877,36.973665961010276,77.77933923195849,4.10818510677892,3.6973665961010274,1.9486832980505138
DE-LU,2024-01-11,24,131.3663140232852,37.94733192202055,93.4189821012647,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-01-12,24,95.30456575091529,28.973665961010276,66.330899789905,3.219296217890031,2.8973665961010275,1.52704627669473
DE-LU,2024-01-13,24,18.777423950239324,9.486832980505138,9.290590969734183,1.0540925533894598,0.9486832980505138,0.5
DE-LU,2024-01-14,24,42.226003374121476,18.486832980505135,23.739170393616334,2.05409255338946,1.8486832980505137,0.9743416490252569
DE-LU,2024-01-15,24,55.18468026252657,18.973665961010276,36.211014301516286,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-01-16,24,145.38191614548748,37.94733192202055,107.43458422346691,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-01-17,24,93.3731889878089,18.973665961010276,74.39952302679862,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-01-18,24,78.55093835516112,18.973665961010276,59.57727239415084,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-01-19,24,73.9978813822321,28.973665961010276,45.02421542122181,3.219296217890031,2.8973665961010275,1.52704627669473
DE-LU,2024-01-20,24,46.79337743020929,18.973665961010276,27.819711469199007,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-01-21,24,53.27771621103369,26.999999999999996,26.27771621103369,3.0,2.6999999999999997,1.4230249470757705
DE-LU,2024-01-22,24,111.23103364496481,27.973665961010273,83.25736768395456,3.1081851067789197,2.7973665961010274,1.4743416490252568
DE-LU,2024-01-23,24,128.01232179554438,28.973665961010276,99.03865583453411,3.219296217890031,2.8973665961010275,1.52704627669473
DE-LU,2024-01-24,24,75.99234161250092,27.486832980505135,48.50550863199578,3.05409255338946,2.748683298050514,1.4486832980505138
DE-LU,2024-01-25,24,101.81260862710982,18.973665961010276,82.83894266609954,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-01-26,24,44.339889115991156,26.999999999999996,17.339889115991156,3.0,2.6999999999999997,1.4230249470757705
DE-LU,2024-01-27,24,68.10176447488666,36.486832980505135,31.614931494381523,4.054092553389459,3.6486832980505133,1.9230249470757705
DE-LU,2024-01-28,24,51.371075943284765,19.486832980505138,31.88424296277961,2.165203664500571,1.9486832980505138,1.02704627669473
DE-LU,2024-01-29,24,131.53767237263133,37.94733192202055,93.59034045061077,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-01-30,24,68.2121177447884,37.46049894151541,30.751618803272976,4.162277660168379,3.746049894151541,1.9743416490252568
DE-LU,2024-01-31,24,124.41007733529406,36.973665961010276,87.43641137428378,4.108185106778919,3.6973665961010274,1.9486832980505138
DE-LU,2024-02-01,24,98.12630577554253,36.486832980505135,61.63947279503739,4.054092553389459,3.6486832980505133,1.9230249470757705
DE-LU,2024-02-02,24,81.01858862769186,27.973665961010276,53.04492266668157,3.1081851067789197,2.7973665961010274,1.4743416490252568
DE-LU,2024-02-03,24,116.04383431268184,46.94733192202055,69.0965023906613,5.216370213557839,4.6947331922020545,2.4743416490252566
DE-LU,2024-02-04,24,112.5230326706357,28.460498941515414,84.0625337291203,3.1622776601683795,2.846049894151541,1.4999999999999998
DE-LU,2024-02-05,24,187.93429306977612,37.46049894151541,150.4737941282607,4.16227766016838,3.746049894151541,1.9743416490252568
DE-LU,2024-02-06,24,123.64842185252019,37.94733192202055,85.70108993049962,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-02-07,24,124.14373212557423,18.973665961010276,105.17006616456395,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-02-08,24,88.88106910680132,18.973665961010276,69.90740314579104,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-02-09,24,53.35985174300865,18.973665961010276,34.386185781998364,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-02-10,24,33.98847476294564,18.973665961010276,15.01480880193536,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-02-11,24,30.454908890335957,9.486832980505138,20.968075909830816,1.0540925533894598,0.9486832980505138,0.5
DE-LU,2024-02-12,24,108.08947556995167,37.94733192202055,70.1421436479311,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-02-13,24,88.59645864455769,37.94733192202055,50.64912672253712,4.216370213557839,3.794733192202055,2.0
DE-LU,2024-02-14,24,46.826942196703214,27.486832980505135,19.340109216198073,3.05409255338946,2.748683298050514,1.4486832980505138
DE-LU,2024-02-15,24,39.66214181082158,18.973665961010276,20.688475849811297,2.1081851067789197,1.8973665961010275,1.0
DE-LU,2024-02-16,24,53.44606080328417,37.46049894151541,15.985561861768758,4.16227766016838,3.746049894151541,1.9743416490252568
DE-LU,2024-02-17,24,59.99242917973251,18.486832980505135,41.50559619922737,2.05409255338946,1.8486832980505137,0.9743416490252569
DE-LU,2024-02-18,24,55.647974022820705,27.973665961010276,27.67430806181045,3.1081851067789197,2.7973665961010274,1.4743416490252568
DE-LU,2024-02-19,24,76.95137504763778,28.486832980505135,48.46454206713267,3.165203664500571,2.8486832980505135,1.5013879257199867
DE-LU,2024-02-20,24,86.50295541135381,37.46049894151541,49.04245646983841,4.162277660168379,3.746049894151541,1.9743416490252568
DE-LU,2024-02-21,24,94.7943375266356,36.973665961010276,57.82067156562533,4.10818510677892,3.6973665961010274,1.9486832980505138
