zone,model,day_cet,sales_eur,purchases_eur,degradation_eur,net_margin_eur,forecast_net_margin_eur,gross_margin_eur,discharge_mwh,forecast_optimism_eur
DE-LU,latest_same_hour,2024-01-13,290.39681270517895,287.2496444487696,37.94733192202055,-34.80016366561125,93.41898210126469,3.1471682564093086,3.794733192202055,128.21914576687595
DE-LU,latest_same_hour,2024-01-14,241.41232560763737,225.23494638693518,28.973665961010276,-12.796286740308062,66.33089978990499,16.177379220702207,2.8973665961010275,79.12718653021305
DE-LU,latest_same_hour,2024-01-15,64.41559593762989,90.87370326094413,9.486832980505138,-35.944940303819386,9.29059096973419,-26.458107323314245,0.9486832980505138,45.235531273553576
DE-LU,latest_same_hour,2024-01-20,144.72485783627005,138.42667272949114,18.973665961010276,-12.675480854231367,59.57727239415084,6.2981851067789165,1.8973665961010275,72.2527532483822
DE-LU,latest_same_hour,2024-01-21,156.79084816405185,138.3119757524398,28.973665961010276,-10.494793549398228,45.024215421221825,18.478872411612052,2.8973665961010275,55.51900897062005
DE-LU,latest_same_hour,2024-01-23,155.91779005769402,151.82999999999998,27.0,-22.912209942305964,26.277716211033706,4.087790057694029,2.6999999999999997,49.18992615333967
DE-LU,latest_same_hour,2024-01-26,179.49114376046768,163.74276310717352,27.486832980505135,-11.738452327210965,48.505508631995774,15.74838065329417,2.748683298050514,60.24396095920674
DE-LU,latest_same_hour,2024-01-28,169.73548302796272,154.85,27.0,-12.11451697203728,17.339889115991163,14.88548302796272,2.7,29.454406088028442
DE-LU,latest_same_hour,2024-01-30,156.41827646175398,147.99117304787757,19.486832980505138,-11.059729566628736,31.884242962779606,8.427103413876406,1.9486832980505138,42.94397252940834
DE-LU,latest_same_hour,2024-02-06,151.70903732017172,125.00719022472337,28.460498941515414,-1.7586518460670817,84.0625337291203,26.701847095448336,2.846049894151541,85.82118557518739
DE-LU,latest_same_hour,2024-02-10,149.8303269946006,134.90555507897716,18.973665961010276,-4.048894045386831,69.90740314579104,14.924771915623445,1.8973665961010275,73.95629719117787
DE-LU,latest_same_hour,2024-02-18,224.79259622045308,191.45811032428952,37.46049894151541,-4.126013045351847,15.985561861768758,33.33448589616356,3.7460498941515414,20.111574907120605
DE-LU,latest_same_hour,2024-02-20,186.19667212929608,165.26564785743975,27.973665961010276,-7.042641689153946,27.674308061810464,20.931024271856337,2.7973665961010274,34.71694975096441
DE-LU,latest_same_hour,2024-02-24,123.72490566823893,122.3595902782283,18.973665961010276,-17.608350570999633,100.5751580244718,1.3653153900106432,1.8973665961010275,118.18350859547144
DE-LU,latest_same_hour,2024-02-26,212.87802307640544,190.08754934455115,28.460498941515414,-5.6700252096611194,51.697158791989935,22.7904737318543,2.846049894151541,57.367184001651054
DE-LU,latest_same_hour,2024-03-03,206.95296733331566,187.05791320933747,28.973665961010276,-9.078611837032106,27.35513127478174,19.895054123978184,2.8973665961010275,36.43374311181385
DE-LU,latest_same_hour,2024-11-10,365.13053560472986,337.3424416015276,28.486832980505135,-0.6987389773028809,22.636101479422038,27.78809400320226,2.8486832980505135,23.33484045672492
DE-LU,latest_same_hour,2024-11-17,123.48777538500721,126.73129121341657,18.973665961010276,-22.21718178941964,60.95244095065769,-3.2435158284093646,1.8973665961010275,83.16962274007733
DE-LU,latest_same_hour,2024-11-19,503.22044605429136,472.68835736169405,37.46049894151541,-6.928410248918097,86.23897625331432,30.5320886925973,3.7460498941515414,93.16738650223242
DE-LU,latest_same_hour,2024-11-24,32.659641351544224,4.3829040542268745,47.434164902525694,-19.157427605208344,108.89786774984783,28.27673729731735,4.743416490252569,128.0552953550562
DE-LU,latest_same_hour,2024-12-01,301.90607265120946,273.265835705679,28.973665961010276,-0.33342901547987935,104.72809327522539,28.640236945530404,2.8973665961010275,105.06152229070527
DE-LU,latest_same_hour,2024-12-07,95.38110456962566,141.0309292851137,18.973665961010276,-64.62349067649832,95.34707772867813,-45.64982471548804,1.8973665961010275,159.97056840517644
DE-LU,latest_same_hour,2024-12-09,286.1037853948351,293.32529211370917,27.973665961010276,-35.19517267988438,69.18677347188546,-7.221506718874068,2.7973665961010274,104.38194615176984
DE-LU,latest_same_hour,2024-12-15,197.5413456820797,180.81666692004077,37.94733192202055,-21.22265315998162,358.13674185653025,16.724678762038934,3.794733192202055,379.3593950165119
DE-LU,latest_same_hour,2024-12-17,149.56818951199176,149.79364896865502,19.486832980505138,-19.712292437168387,66.65203115188591,-0.22545945666325906,1.9486832980505138,86.3643235890543
DE-LU,latest_same_hour,2024-12-21,67.12574979923633,40.68802953984955,27.973665961010276,-1.5359457016234863,94.51201677633307,26.43772025938679,2.7973665961010274,96.04796247795656
DE-LU,latest_same_hour,2024-12-23,98.70317425539633,112.49407399967262,18.486832980505135,-32.27773272478143,20.17526875744403,-13.790899744276302,1.8486832980505137,52.45300148222546
DE-LU,latest_same_hour,2024-12-26,234.5646055185372,218.07247540361644,18.973665961010276,-2.481535846089514,32.46858287302801,16.49213011492077,1.8973665961010275,34.950118719117526
DE-LU,seven_day_same_hour,2024-01-13,142.2493616504189,145.88279384741318,18.973665961010276,-22.607098158004547,37.707746936676585,-3.6334321969942707,1.8973665961010275,60.31484509468113
DE-LU,seven_day_same_hour,2024-01-21,102.73874837574877,93.44849380728448,18.973665961010276,-9.683411392545992,28.718929486211096,9.290254568464285,1.8973665961010275,38.40234087875709
DE-LU,seven_day_same_hour,2024-01-26,182.15115238333237,167.5898963528805,27.973665961010276,-13.41240993055839,40.61797532925958,14.561256030451887,2.7973665961010274,54.03038525981797
